
DECIMAL       HEXADECIMAL     DESCRIPTION
44654592      0x2A96000       UBIFS filesystem master node, CRC: 0xBFD78FDD, highest inode: 66, commit number: 70
44656640      0x2A96800       UBIFS filesystem master node, CRC: 0xAB129602, highest inode: 66, commit number: 71
44658688      0x2A97000       UBIFS filesystem master node, CRC: 0xBF438925, highest inode: 66, commit number: 71
44660736      0x2A97800       UBIFS filesystem master node, CRC: 0xAB2F2A54, highest inode: 66, commit number: 72
44662784      0x2A98000       UBIFS filesystem master node, CRC: 0x705ABDDE, highest inode: 66, commit number: 72
44664832      0x2A98800       UBIFS filesystem master node, CRC: 0xD733C6D6, highest inode: 66, commit number: 73
44695552      0x2AA0000       UBIFS filesystem master node, CRC: 0x1C436DB8, highest inode: 66, commit number: 41
44697600      0x2AA0800       UBIFS filesystem master node, CRC: 0x107398A5, highest inode: 66, commit number: 41
44699648      0x2AA1000       UBIFS filesystem master node, CRC: 0x9C83FEFA, highest inode: 66, commit number: 42
44701696      0x2AA1800       UBIFS filesystem master node, CRC: 0xFD9D7034, highest inode: 66, commit number: 43
44703744      0x2AA2000       UBIFS filesystem master node, CRC: 0xECF587D5, highest inode: 66, commit number: 44
44705792      0x2AA2800       UBIFS filesystem master node, CRC: 0xE0C572C8, highest inode: 66, commit number: 44
44707840      0x2AA3000       UBIFS filesystem master node, CRC: 0xDFBEB0CF, highest inode: 66, commit number: 45
44709888      0x2AA3800       UBIFS filesystem master node, CRC: 0x853CF234, highest inode: 66, commit number: 46
44711936      0x2AA4000       UBIFS filesystem master node, CRC: 0xA5440F97, highest inode: 66, commit number: 47
44713984      0x2AA4800       UBIFS filesystem master node, CRC: 0xA974FA8A, highest inode: 66, commit number: 47
44716032      0x2AA5000       UBIFS filesystem master node, CRC: 0xD787A700, highest inode: 66, commit number: 48
44718080      0x2AA5800       UBIFS filesystem master node, CRC: 0xDBB7521D, highest inode: 66, commit number: 48
44720128      0x2AA6000       UBIFS filesystem master node, CRC: 0xF0A90F36, highest inode: 66, commit number: 49
44722176      0x2AA6800       UBIFS filesystem master node, CRC: 0x7CBD2BBB, highest inode: 66, commit number: 50
44724224      0x2AA7000       UBIFS filesystem master node, CRC: 0xC01193BF, highest inode: 66, commit number: 51
44726272      0x2AA7800       UBIFS filesystem master node, CRC: 0x1B640435, highest inode: 66, commit number: 51
44728320      0x2AA8000       UBIFS filesystem master node, CRC: 0xE6A3FF45, highest inode: 66, commit number: 52
44730368      0x2AA8800       UBIFS filesystem master node, CRC: 0x2C72407A, highest inode: 66, commit number: 53
44732416      0x2AA9000       UBIFS filesystem master node, CRC: 0xE5286705, highest inode: 66, commit number: 54
44734464      0x2AA9800       UBIFS filesystem master node, CRC: 0xE9189218, highest inode: 66, commit number: 54
44736512      0x2AAA000       UBIFS filesystem master node, CRC: 0x4353F711, highest inode: 66, commit number: 55
44738560      0x2AAA800       UBIFS filesystem master node, CRC: 0x35B4107C, highest inode: 66, commit number: 56
44740608      0x2AAB000       UBIFS filesystem master node, CRC: 0x62E76076, highest inode: 66, commit number: 57
44742656      0x2AAB800       UBIFS filesystem master node, CRC: 0x6ED7956B, highest inode: 66, commit number: 57
44744704      0x2AAC000       UBIFS filesystem master node, CRC: 0xDFC4B981, highest inode: 66, commit number: 58
44746752      0x2AAC800       UBIFS filesystem master node, CRC: 0x6DE031DE, highest inode: 66, commit number: 59
44748800      0x2AAD000       UBIFS filesystem master node, CRC: 0x15ED3E45, highest inode: 66, commit number: 60
44750848      0x2AAD800       UBIFS filesystem master node, CRC: 0x19DDCB58, highest inode: 66, commit number: 60
44752896      0x2AAE000       UBIFS filesystem master node, CRC: 0x38C408BE, highest inode: 66, commit number: 61
44754944      0x2AAE800       UBIFS filesystem master node, CRC: 0xD2AE8E73, highest inode: 66, commit number: 62
44756992      0x2AAF000       UBIFS filesystem master node, CRC: 0x88CB52C1, highest inode: 66, commit number: 63
44759040      0x2AAF800       UBIFS filesystem master node, CRC: 0xB0FF1DF0, highest inode: 66, commit number: 64
44761088      0x2AB0000       UBIFS filesystem master node, CRC: 0x49648907, highest inode: 66, commit number: 65
44763136      0x2AB0800       UBIFS filesystem master node, CRC: 0x92EEA897, highest inode: 66, commit number: 66
44765184      0x2AB1000       UBIFS filesystem master node, CRC: 0x14696BE4, highest inode: 66, commit number: 66
44767232      0x2AB1800       UBIFS filesystem master node, CRC: 0xAE1D89FE, highest inode: 66, commit number: 66
44769280      0x2AB2000       UBIFS filesystem master node, CRC: 0x6D93F3B4, highest inode: 66, commit number: 67
44771328      0x2AB2800       UBIFS filesystem master node, CRC: 0x5125DDBD, highest inode: 66, commit number: 68
44773376      0x2AB3000       UBIFS filesystem master node, CRC: 0x5D1528A0, highest inode: 66, commit number: 68
44775424      0x2AB3800       UBIFS filesystem master node, CRC: 0xC5AE9474, highest inode: 66, commit number: 69
44777472      0x2AB4000       UBIFS filesystem master node, CRC: 0xC99E6169, highest inode: 66, commit number: 69
44779520      0x2AB4800       UBIFS filesystem master node, CRC: 0xBFD78FDD, highest inode: 66, commit number: 70
44781568      0x2AB5000       UBIFS filesystem master node, CRC: 0xB3E77AC0, highest inode: 66, commit number: 70
44783616      0x2AB5800       UBIFS filesystem master node, CRC: 0xBF438925, highest inode: 66, commit number: 71
44785664      0x2AB6000       UBIFS filesystem master node, CRC: 0xB3737C38, highest inode: 66, commit number: 71
44787712      0x2AB6800       UBIFS filesystem master node, CRC: 0x705ABDDE, highest inode: 66, commit number: 72
44789760      0x2AB7000       UBIFS filesystem master node, CRC: 0x7C6A48C3, highest inode: 66, commit number: 72
44791808      0x2AB7800       UBIFS filesystem master node, CRC: 0xC362D9F1, highest inode: 66, commit number: 73

